# EPyR Tools Export - Slice 1 of Rabi2D_GdCaWO4_13dB_3057G
# Original file: Rabi2D_GdCaWO4_13dB_3057G.DSC
# Data type: 2D Complex
# Full shape: (500, 1024)
# Slice index: 0
# Frequency: 9621228000.0
#
Field_G,Intensity
4.0,253586.72712900414
6.0,238483.47048170865
8.0,223000.88506775035
10.0,209268.12940579368
12.0,196782.3264421884
14.0,185996.03066732365
16.0,175549.55821362813
18.0,170280.7718152581
20.0,168627.884443825
22.0,172447.5759180163
24.0,181491.1217663277
26.0,199758.67233489515
28.0,216855.15199321415
30.0,229926.85794617384
32.0,241817.1229938029
34.0,248092.86819656868
36.0,249873.17476271835
38.0,244157.63008761365
40.0,233810.689584544
42.0,221292.7865634124
44.0,206597.75619546304
46.0,192545.72545761697
48.0,184397.75762465227
50.0,179974.0196500595
52.0,179056.3013719428
54.0,184045.90610497154
56.0,193351.6723175675
58.0,203529.3918061959
60.0,213040.55665060584
62.0,221290.35581335213
64.0,229870.54181212522
66.0,238308.08866675085
68.0,241281.73305494967
70.0,239894.99221325986
72.0,235633.85692637635
74.0,228770.87012554723
76.0,217670.23368618873
78.0,206347.69240531867
80.0,195017.35858379374
82.0,184297.32964153335
84.0,179221.96045406934
86.0,180956.35708645332
88.0,186098.9750643458
90.0,194477.24143714094
92.0,203075.24814708464
94.0,212954.0586135892
96.0,223909.07419084202
98.0,228604.80577844376
100.0,230815.8144365329
102.0,230259.37438679885
104.0,228002.79717582415
106.0,224345.72768385848
108.0,218816.33765786322
110.0,211337.73648120678
112.0,205835.8680526793
114.0,201017.41075090985
116.0,198569.65902423262
118.0,196809.63196449509
120.0,194769.38020387088
122.0,194761.72196045093
124.0,196474.29781271645
126.0,205837.31305329458
128.0,213137.9260314785
130.0,219576.9629560442
132.0,223811.67333720552
134.0,227409.12610755092
136.0,227075.6762865631
138.0,223537.4925443157
140.0,217699.2032989556
142.0,211247.41749190685
144.0,204393.14750010578
146.0,198922.32197770063
148.0,195314.1958716775
150.0,193736.72258247787
152.0,194225.2312265325
154.0,196185.34497000536
156.0,203721.28921641942
158.0,207856.0050732237
160.0,211319.054872011
162.0,214197.35124879578
164.0,217627.79033248487
166.0,222382.3642400629
168.0,225440.2603462833
170.0,225108.51388830232
172.0,224352.47038978647
174.0,221967.56089122573
176.0,216171.65994644168
178.0,209570.2520588263
180.0,202280.10811248844
182.0,196175.68686256712
184.0,192195.88071808408
186.0,192291.2820748772
188.0,195050.63654600055
190.0,199110.80313483748
192.0,203986.0859568613
194.0,209479.90167316765
196.0,217396.52568750954
198.0,221252.50521971498
200.0,221633.12201925056
202.0,220233.7369273836
204.0,219008.91089177172
206.0,219213.1258410408
208.0,216050.3547092668
210.0,212887.11889637663
212.0,210524.28835647443
214.0,207747.42098278864
216.0,204880.93653876145
218.0,201542.8866147352
220.0,199095.2086239144
222.0,198230.05913584345
224.0,199805.29553793112
226.0,204024.48014147714
228.0,209750.10634800643
230.0,213544.3102309214
232.0,217615.05169679783
234.0,219707.72308910763
236.0,222515.23193929894
238.0,221542.7743281193
240.0,218347.91961683537
242.0,213729.32751496692
244.0,210759.28673251864
246.0,207068.98468143414
248.0,205391.21004804465
250.0,204683.18977874075
252.0,204263.07625461827
254.0,206154.6663696944
256.0,208268.16345279466
258.0,209004.56571568
260.0,209812.62960079405
262.0,210267.55725265847
264.0,211256.68808584503
266.0,214335.80765938293
268.0,216461.96829235382
270.0,217058.21145720338
272.0,218182.5452276144
274.0,217038.1950832618
276.0,215932.26046378526
278.0,212779.44105575612
280.0,207888.1345579877
282.0,203792.50092434706
284.0,200279.53453610782
286.0,202024.5567499159
288.0,203641.56421516705
290.0,206790.39055284945
292.0,210304.4561106588
294.0,213720.44677334922
296.0,217418.1637421308
298.0,218498.5795102568
300.0,217429.47737829847
302.0,216406.08971329802
304.0,215636.64772482438
306.0,213895.54674186182
308.0,213957.48783344787
310.0,211134.47485429756
312.0,210504.01451991362
314.0,208367.0089649511
316.0,208804.79547175157
318.0,207637.12408911853
320.0,204371.31015874023
322.0,203175.3949276339
324.0,201866.59519841315
326.0,207150.8455063604
328.0,210683.2898926728
330.0,214762.90724657272
332.0,217681.0527009643
334.0,220410.28078789794
336.0,221124.21441805057
338.0,219378.82102199382
340.0,216075.55980489787
342.0,211925.18249844684
344.0,209012.63114223504
346.0,206625.50811794752
348.0,204356.1563398568
350.0,204330.13507801536
352.0,203641.75148529833
354.0,204459.41076409273
356.0,208381.83439301996
358.0,208969.89639897895
360.0,208513.81884661742
362.0,207920.21244939126
364.0,208707.72869733407
366.0,213753.8003638766
368.0,215974.5086462752
370.0,217880.8993854211
372.0,219010.27251935014
374.0,219639.38933169525
376.0,217845.20878137302
378.0,214204.6154918236
380.0,210516.33214551312
382.0,206629.71317794544
384.0,203750.04958281608
386.0,202768.16520351512
388.0,204420.2233684329
390.0,204479.19779283172
392.0,205868.8548688218
394.0,208718.45794035564
396.0,211325.4894611627
398.0,212972.3632821874
400.0,211072.09007824791
402.0,210466.84102252306
